text,intents
could you explain what is your return policy?? i need info on do you have this goods in stock?.,"['Store Policy', 'Product Inquiry']"
what are the different color options that are in stock for the item? please? would like to get details about what is your return policy?. can you tell me i have been waiting for the shipment long time?,"['Product Inquiry', 'Store Policy', 'Order Tracking']"
can you explain your warranty terms? would like to get details about i do not want this goods anymore.,"['Store Policy', 'Refund Request']"
would like to get details about can you provide the tracking details?. need help with do you offer free shipping?. could you explain i do not want this item anymore?,"['Order Tracking', 'Store Policy', 'Refund Request']"
"could you explain do you have this goods in stock?? it is been long time since i have raised the refund, but amount is not credited could you explain how long will shipping take??","['Product Inquiry', 'Refund Request', 'Order Tracking']"
i need info on can i cancel my purchase and get a money back?. i need info on do you offer free shipping?. what are the different color options that are available for the product?,"['Refund Request', 'Store Policy', 'Product Inquiry']"
"could you explain can you provide the tracking details?? please help me understand product i received is different from the one that i placed shipment, need help with repayment. what is your return policy?","['Order Tracking', 'Refund Request', 'Store Policy']"
i need info on expected availability date for the item. i want to check the status of my shipment.,"['Product Inquiry', 'Order Tracking']"
please help me understand i do not want this goods anymore. what are the features of this laptop? can you tell me how long will dispatch take??,"['Refund Request', 'Product Inquiry', 'Order Tracking']"
can i cancel my shipment and get a money back? please? i am looking to know what is your return policy?. need help with expected availability date for the item.,"['Refund Request', 'Store Policy', 'Product Inquiry']"
"need help with it is been long time since i have raised the money back, but amount is not credited. how long will delivery take? could you explain what are the options for free dispatch?","['Refund Request', 'Order Tracking', 'Store Policy']"
need help with what are the specifications of this laptop?. what are the options for free delivery,"['Product Inquiry', 'Store Policy']"
"it is been long time since i have raised the money back, but amount is not credited please? do you offer free shipping?","['Refund Request', 'Store Policy']"
i need info on can you explain your warranty terms?. i need info on what are the specifications of this laptop?.,"['Store Policy', 'Product Inquiry']"
could you explain system shows that purchase is delivered but i have not received any purchase? is this phone available? what are the options for free delivery,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
system shows that order is delivered but i have not received any order what is your return policy?,"['Order Tracking', 'Store Policy']"
"i need info on it is been long time since i have raised the repayment, but amount is not credited. what are the options for free delivery","['Refund Request', 'Store Policy']"
would like to get details about what are the options for free shipping. can you tell me system shows that purchase is delivered but i have not received any purchase?,"['Store Policy', 'Order Tracking']"
how do i get a refund? i have been waiting for the purchase long time please?,"['Refund Request', 'Order Tracking']"
what are the features of this laptop? i do not want this product anymore,"['Product Inquiry', 'Refund Request']"
i am looking to know do you offer free shipping?. i want to check the status of my shipment. please?,"['Store Policy', 'Order Tracking']"
can i cancel my shipment and get a money back? please? i have been waiting for the order long time could you explain do you offer free shipping??,"['Refund Request', 'Order Tracking', 'Store Policy']"
could you explain when can i expect the repayment to be processed? i need info on do you have this goods in stock?. where is my order?,"['Refund Request', 'Product Inquiry', 'Order Tracking']"
"please help me understand there is delay in the purchase dispatch, can you please let me know the reason. would like to get details about how do i get a repayment?. what are the options for free delivery","['Order Tracking', 'Refund Request', 'Store Policy']"
i need info on can you provide the tracking details?. what is the process for a repayment? please?,"['Order Tracking', 'Refund Request']"
i am looking to know do you offer free shipping?. would like to get details about what are the specifications of this laptop?. need help with can you provide the tracking details?.,"['Store Policy', 'Product Inquiry', 'Order Tracking']"
"i have been waiting for the shipment long time please? would like to get details about is this phone in stock?. would like to get details about product i received is different from the one that i placed purchase, need help with money back.","['Order Tracking', 'Product Inquiry', 'Refund Request']"
"i have been waiting for the order long time i need info on it is been long time since i have raised the money back, but amount is not credited.","['Order Tracking', 'Refund Request']"
could you explain expected availability date for the item? need help with what is your return policy?. would like to get details about when can i expect the money back to be processed.,"['Product Inquiry', 'Store Policy', 'Refund Request']"
"can you tell me what are the options for free dispatch? expected availability date for the product there is delay in the order delivery, can you please let me know the reason","['Store Policy', 'Product Inquiry', 'Order Tracking']"
i want to check the status of my shipment. can you tell me do you offer free shipping?? i need info on is this phone in store?.,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
i am looking to know what are the options for free shipping. do you have this product in stock? can i return my purchase? please?,"['Store Policy', 'Product Inquiry', 'Refund Request']"
"could you explain is this phone in stock?? can you explain your warranty terms? i am looking to know there is delay in the shipment shipping, can you please let me know the reason.","['Product Inquiry', 'Store Policy', 'Order Tracking']"
how long will delivery take? can i cancel my purchase and get a repayment? please?,"['Order Tracking', 'Refund Request']"
"what is the price of the new headphones? please help me understand i want to check the status of my shipment.. please help me understand product i received is different from the one that i placed shipment, need help with repayment.","['Product Inquiry', 'Order Tracking', 'Refund Request']"
"what is the process for a refund? there is delay in the purchase dispatch, can you please let me know the reason please? would like to get details about what is the cost of the new headphones?.","['Refund Request', 'Order Tracking', 'Product Inquiry']"
when can i expect the refund to be processed would like to get details about i want to check the status of my shipment.. could you explain what is the rate of the new headphones??,"['Refund Request', 'Order Tracking', 'Product Inquiry']"
i need info on can i cancel my purchase and get a money back?. i am looking to know system shows that shipment is delivered but i have not received any shipment. can you explain your warranty terms?,"['Refund Request', 'Order Tracking', 'Store Policy']"
could you explain what are the options for free shipping? i am looking to know what are the specs of this laptop?. i am looking to know i want to check the status of my shipment..,"['Store Policy', 'Product Inquiry', 'Order Tracking']"
what is the process for a refund? i have been waiting for the purchase long time please?,"['Refund Request', 'Order Tracking']"
i need info on what are the options for free dispatch. can i cancel my order and get a refund?,"['Store Policy', 'Refund Request']"
"please help me understand it is been long time since i have raised the money back, but amount is not credited. need help with system shows that shipment is delivered but i have not received any shipment.","['Refund Request', 'Order Tracking']"
"can you tell me product i received is different from the one that i placed purchase, need help with repayment? i am looking to know what are the specs of this laptop?. i need info on what are the shipping charges?.","['Refund Request', 'Product Inquiry', 'Store Policy']"
can you tell me when can i expect the money back to be processed? i need info on what is your return policy?.,"['Refund Request', 'Store Policy']"
"need help with it is been long time since i have raised the money back, but amount is not credited. need help with there is delay in the purchase dispatch, can you please let me know the reason.","['Refund Request', 'Order Tracking']"
could you explain do you have this item in stock?? can you explain your warranty terms?,"['Product Inquiry', 'Store Policy']"
need help with can you explain your warranty terms?. i need info on can you provide the tracking details?. i am looking to know expected availability date for the item.,"['Store Policy', 'Order Tracking', 'Product Inquiry']"
would like to get details about do you have this item in stock?. could you explain can you explain your warranty terms??,"['Product Inquiry', 'Store Policy']"
need help with what are the shipping charges?. i need info on what is the process for a money back?. could you explain what are the different color options that are in stock for the item??,"['Store Policy', 'Refund Request', 'Product Inquiry']"
"what are the different color options that are available for the product? there is delay in the order delivery, can you please let me know the reason can i return my order?","['Product Inquiry', 'Order Tracking', 'Refund Request']"
what are the delivery charges? system shows that order is delivered but i have not received any order could you explain expected availability date for the item?,"['Store Policy', 'Order Tracking', 'Product Inquiry']"
could you explain what are the different color options that are in store for the goods?? can you tell me i have been waiting for the shipment long time?,"['Product Inquiry', 'Order Tracking']"
what is the price of the new headphones? can you tell me can i return my shipment??,"['Product Inquiry', 'Refund Request']"
i have been waiting for the order long time what are the options for free shipping please? would like to get details about when can i expect the repayment to be processed.,"['Order Tracking', 'Store Policy', 'Refund Request']"
is this phone available? need help with can you provide the tracking details?. need help with can i return my purchase?.,"['Product Inquiry', 'Order Tracking', 'Refund Request']"
would like to get details about what are the dispatch charges?. how long will delivery take? help me with the products that have discounts,"['Store Policy', 'Order Tracking', 'Product Inquiry']"
need help with what is the process for a repayment?. would like to get details about where is my shipment?. could you explain what are the dispatch charges??,"['Refund Request', 'Order Tracking', 'Store Policy']"
"i am looking to know what is the cost of the new headphones?. there is delay in the order delivery, can you please let me know the reason would like to get details about can you explain your warranty terms?.","['Product Inquiry', 'Order Tracking', 'Store Policy']"
can you tell me can i cancel my shipment and get a money back?? can you tell me what are the specs of this laptop??,"['Refund Request', 'Product Inquiry']"
can you tell me what are the dispatch charges?? i am looking to know expected availability date for the item.,"['Store Policy', 'Product Inquiry']"
"please help me understand what are the shipping charges?. i need info on it is been long time since i have raised the repayment, but amount is not credited. how long will delivery take?","['Store Policy', 'Refund Request', 'Order Tracking']"
would like to get details about what is the process for a money back?. please help me understand what is your return policy?.,"['Refund Request', 'Store Policy']"
how do i get a repayment? please? i am looking to know is this phone in store?.,"['Refund Request', 'Product Inquiry']"
