text,intents
do you offer free shipping? what is the price of the new headphones?,"['Store Policy', 'Product Inquiry']"
when can i expect the repayment to be processed please? i need info on what are the dispatch charges?. could you explain what is the cost of the new headphones??,"['Refund Request', 'Store Policy', 'Product Inquiry']"
need help with i do not want this goods anymore. system shows that order is delivered but i have not received any order,"['Refund Request', 'Order Tracking']"
"can you tell me i have been waiting for the purchase long time? need help with it is been long time since i have raised the money back, but amount is not credited. what are the options for free delivery","['Order Tracking', 'Refund Request', 'Store Policy']"
please help me understand system shows that shipment is delivered but i have not received any shipment. could you explain help me with the items that have discounts? need help with can you explain your warranty terms?.,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
i have been waiting for the order long time what is your return policy? how do i get a refund?,"['Order Tracking', 'Store Policy', 'Refund Request']"
what are the different color options that are in store for the goods? please? need help with can i cancel my shipment and get a money back?.,"['Product Inquiry', 'Refund Request']"
need help with what are the options for free shipping. need help with where is my shipment?.,"['Store Policy', 'Order Tracking']"
i do not want this item anymore please? can you explain your warranty terms? i need info on what is the cost of the new headphones?.,"['Refund Request', 'Store Policy', 'Product Inquiry']"
could you explain can you provide the tracking details?? can i return my order?,"['Order Tracking', 'Refund Request']"
need help with when can i expect the money back to be processed. could you explain what is the rate of the new headphones??,"['Refund Request', 'Product Inquiry']"
expected availability date for the goods please? i need info on can you explain your warranty terms?. could you explain how do i get a money back??,"['Product Inquiry', 'Store Policy', 'Refund Request']"
could you explain i have been waiting for the purchase long time? is this phone in stock? please?,"['Order Tracking', 'Product Inquiry']"
could you explain i want to check the status of my shipment.? would like to get details about do you have this goods in stock?.,"['Order Tracking', 'Product Inquiry']"
where is my shipment? please? would like to get details about what is your return policy?.,"['Order Tracking', 'Store Policy']"
i am looking to know can i return my shipment?. need help with expected availability date for the goods.,"['Refund Request', 'Product Inquiry']"
can you explain your warranty terms? when can i expect the refund to be processed,"['Store Policy', 'Refund Request']"
i need info on system shows that shipment is delivered but i have not received any shipment. please help me understand help me with the items that have discounts.,"['Order Tracking', 'Product Inquiry']"
need help with how do i get a repayment?. i need info on i want to check the status of my shipment..,"['Refund Request', 'Order Tracking']"
can you tell me can you provide the tracking details?? i do not want this product anymore,"['Order Tracking', 'Refund Request']"
would like to get details about can you provide the tracking details?. i am looking to know do you offer free shipping?. can i return my order?,"['Order Tracking', 'Store Policy', 'Refund Request']"
can you tell me what are the specifications of this laptop?? i am looking to know what is your return policy?.,"['Product Inquiry', 'Store Policy']"
can you tell me system shows that purchase is delivered but i have not received any purchase? please help me understand do you offer free shipping?. would like to get details about help me with the items that have discounts.,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
i am looking to know what is the rate of the new headphones?. where is my order? would like to get details about can i return my purchase?.,"['Product Inquiry', 'Order Tracking', 'Refund Request']"
could you explain where is my shipment?? i need info on can you explain your warranty terms?. help me with the products that have discounts,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
